title,price_gbp,rating,availability,category,rating_numeric
Running with Scissors,12.91,Four,In stock,Books,4
Rogue Lawyer (Rogue Lawyer #1),50.11,Three,In stock,Books,3
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,Four,In stock,Books,4
Rework,44.88,Two,In stock,Books,2
Reservations for Two,11.1,Three,In stock,Books,3
Red: The True Story of Red Riding Hood,28.54,Three,In stock,Books,3
Ready Player One,19.07,Four,In stock,Books,4
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,One,In stock,Books,1
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,Three,In stock,Books,3
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,One,In stock,Books,1
Packing for Mars: The Curious Science of Life in the Void,56.68,Two,In stock,Books,2
Outliers: The Story of Success,14.16,One,In stock,Books,1
Original Fake,31.45,Three,In stock,Books,3
Orange Is the New Black,24.61,Two,In stock,Books,2
One for the Money (Stephanie Plum #1),32.87,Two,In stock,Books,2
Notes from a Small Island (Notes From a Small Island #1),40.17,One,In stock,Books,1
Night (The Night Trilogy #1),13.51,One,In stock,Books,1
Neither Here nor There: Travels in Europe,38.95,Three,In stock,Books,3
Naked,31.69,Three,In stock,Books,3
Morning Star (Red Rising #3),29.4,One,In stock,Books,1
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,One,In stock,Books,1
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,Two,In stock,Books,2
Me Talk Pretty One Day,57.6,Two,In stock,Books,2
Manuscript Found in Accra,34.98,Two,In stock,Books,2
Lust & Wonder,11.87,Two,In stock,Books,2
Lila (Gilead #3),12.47,Three,In stock,Books,3
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,Two,In stock,Books,2
Life Without a Recipe,59.04,Five,In stock,Books,5
Life After Life,26.13,Two,In stock,Books,2
Letter to a Christian Nation,22.2,One,In stock,Books,1
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,One,In stock,Books,1
Legend (Legend #1),43.69,Four,In stock,Books,4
"Lean In: Women, Work, and the Will to Lead",25.02,One,In stock,Books,1
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,Five,In stock,Books,5
Lady Renegades (Rebel Belle #3),53.04,Five,In stock,Books,5
Jurassic Park (Jurassic Park #1),44.97,One,In stock,Books,1
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,One,In stock,Books,1
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,Three,In stock,Books,3
Into the Wild,56.7,Five,In stock,Books,5
Inferno (Robert Langdon #4),41.0,Five,In stock,Books,5
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,Three,In stock,Books,3
If I Run (If I Run #1),49.97,Four,In stock,Books,4
I've Got Your Number,19.69,One,In stock,Books,1
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,Two,In stock,Books,2
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,Three,In stock,Books,3
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,Two,In stock,Books,2
House of Leaves,54.89,One,In stock,Books,1
Horrible Bear!,37.52,Two,In stock,Books,2
Holidays on Ice,51.07,Two,In stock,Books,2
Heir to the Sky,44.07,Four,In stock,Books,4
Green Eggs and Ham (Beginner Books B-16),10.79,Four,In stock,Books,4
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,One,In stock,Books,1
Gratitude,26.66,Five,In stock,Books,5
Gone Girl,37.6,Five,In stock,Books,5
Golden (Heart of Dread #3),42.21,Four,In stock,Books,4
Girl in the Blue Coat,46.83,Two,In stock,Books,2
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,Two,In stock,Books,2
"Friday Night Lights: A Town, a Team, and a Dream",51.22,Three,In stock,Books,3
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,Four,In stock,Books,4
Fifty Shades Freed (Fifty Shades #3),15.36,Five,In stock,Books,5
Fellside,38.62,One,In stock,Books,1
Extreme Prey (Lucas Davenport #26),25.4,Three,In stock,Books,3
Eragon (The Inheritance Cycle #1),43.87,Three,In stock,Books,3
Eclipse (Twilight #3),18.74,One,In stock,Books,1
Dune (Dune #1),54.86,One,In stock,Books,1
Dracula,52.62,Three,In stock,Books,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,One,In stock,Books,1
Disrupted: My Misadventure in the Start-Up Bubble,15.28,Five,In stock,Books,5
Dead Wake: The Last Crossing of the Lusitania,39.24,Five,In stock,Books,5
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,One,In stock,Books,1
Darkfever (Fever #1),56.02,One,In stock,Books,1
Dark Places,23.9,Five,In stock,Books,5
Crazy Rich Asians (Crazy Rich Asians #1),49.13,Five,In stock,Books,5
Counting Thyme,10.62,One,In stock,Books,1
Cosmos,36.17,Two,In stock,Books,2
Civilization and Its Discontents,59.95,Two,In stock,Books,2
Cinder (The Lunar Chronicles #1),26.09,One,In stock,Books,1
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,Two,In stock,Books,2
Career of Evil (Cormoran Strike #3),24.72,Two,In stock,Books,2
Breaking Dawn (Twilight #4),35.28,Five,In stock,Books,5
Brave Enough,51.32,Five,In stock,Books,5
Boy Meets Boy,21.12,Three,In stock,Books,3
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,Two,In stock,Books,2
Blink: The Power of Thinking Without Thinking,21.74,Five,In stock,Books,5
Black Flags: The Rise of ISIS,40.87,One,In stock,Books,1
"Black Butler, Vol. 1 (Black Butler #1)",49.31,One,In stock,Books,1
Big Little Lies,22.11,One,In stock,Books,1
Between Shades of Gray,20.79,Five,In stock,Books,5
Best of My Love (Fool's Gold #20),27.41,Two,In stock,Books,2
Beowulf,38.35,Two,In stock,Books,2
Beautiful Creatures (Caster Chronicles #1),21.55,Five,In stock,Books,5
Awkward,38.02,Two,In stock,Books,2
Ash,22.06,Four,In stock,Books,4
Are We There Yet?,10.66,Three,In stock,Books,3
Are We Smart Enough to Know How Smart Animals Are?,56.58,One,In stock,Books,1
Annie on My Mind,36.83,Five,In stock,Books,5
And Then There Were None,35.01,Two,In stock,Books,2
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,Four,In stock,Books,4
A Visit from the Goon Squad,14.08,Five,In stock,Books,5
A Storm of Swords (A Song of Ice and Fire #3),31.22,Two,In stock,Books,2
A Heartbreaking Work of Staggering Genius,54.29,Five,In stock,Books,5
8 Keys to Mental Health Through Exercise,31.04,One,In stock,Books,1
#GIRLBOSS,50.96,One,In stock,Books,1
"The Suffragettes (Little Black Classics, #96)",11.89,Two,In stock,Books,2
The Sense of an Ending,31.38,Three,In stock,Books,3
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,One,In stock,Books,1
The Course of Love,16.78,Three,In stock,Books,3
Sugar Rush (Offensive Line #2),24.42,One,In stock,Books,1
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,Three,In stock,Books,3
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,One,In stock,Books,1
New Moon (Twilight #2),12.86,Four,In stock,Books,4
Life,31.58,Five,In stock,Books,5
Kindle Paperwhite User's Guide,34.0,Three,In stock,Books,3
H is for Hawk,57.42,Five,In stock,Books,5
Girl Online On Tour (Girl Online #2),53.47,One,In stock,Books,1
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,Five,In stock,Books,5
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,Four,In stock,Books,4
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,Four,In stock,Books,4
While You Were Mine,41.32,Five,In stock,Books,5
Where Lightning Strikes (Bleeding Stars #3),39.77,Three,In stock,Books,3
When I'm Gone,51.96,Three,In stock,Books,3
Ways of Seeing,39.51,Five,In stock,Books,5
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,One,In stock,Books,1
Vampire Girl (Vampire Girl #1),53.82,Two,In stock,Books,2
Twenty Love Poems and a Song of Despair,30.95,Four,In stock,Books,4
Travels with Charley: In Search of America,57.82,Five,In stock,Books,5
Three Wishes (River of Time: California #1),44.18,Two,In stock,Books,2
This One Moment (Pushing Limits #1),48.71,One,In stock,Books,1
The Zombie Room,19.69,Five,In stock,Books,5
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,Two,In stock,Books,2
The Tumor,41.56,Five,In stock,Books,5
The Story of Hong Gildong,43.19,Four,In stock,Books,4
The Silent Wife,12.34,Five,In stock,Books,5
The Silent Twin (Detective Jennifer Knight #3),36.25,Three,In stock,Books,3
The Selfish Gene,29.45,One,In stock,Books,1
The Secret Healer,34.56,Three,In stock,Books,3
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,Three,In stock,Books,3
The Republic,33.78,Three,In stock,Books,3
The Odyssey,29.64,Three,In stock,Books,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,In stock,Books,4
The Nicomachean Ethics,36.34,One,In stock,Books,1
The Name of the Wind (The Kingkiller Chronicle #1),50.59,Three,In stock,Books,3
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,One,In stock,Books,1
The Little Prince,45.42,Two,In stock,Books,2
The Light of the Fireflies,54.43,One,In stock,Books,1
The Last Girl (The Dominion Trilogy #1),36.26,Two,In stock,Books,2
The Iliad,16.16,One,In stock,Books,1
The Hook Up (Game On #1),36.29,Five,In stock,Books,5
The Haters,27.89,Five,In stock,Books,5
The Girl You Lost,12.29,Five,In stock,Books,5
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,In stock,Books,3
The End of the Jesus Era (An Investigation #1),14.4,One,In stock,Books,1
The Edge of Reason (Bridget Jones #2),19.18,Four,In stock,Books,4
The Complete Maus (Maus #1-2),10.64,Three,In stock,Books,3
The Communist Manifesto,14.76,Three,In stock,Books,3
The Bhagavad Gita,57.49,Three,In stock,Books,3
The Bette Davis Club,30.66,Three,In stock,Books,3
The Art of Not Breathing,40.83,Four,In stock,Books,4
Taking Shots (Assassins #1),18.88,Two,In stock,Books,2
Starlark,25.83,Three,In stock,Books,3
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,Three,In stock,Books,3
Sister Sable (The Mad Queen #1),13.33,Three,In stock,Books,3
Shatter Me (Shatter Me #1),42.4,One,In stock,Books,1
Shameless,58.35,Three,In stock,Books,3
Shadow Rites (Jane Yellowrock #10),21.72,Four,In stock,Books,4
Settling the Score (The Summer Games #1),44.91,Two,In stock,Books,2
Sense and Sensibility,37.46,One,In stock,Books,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,One,In stock,Books,1
"Rhythm, Chord & Malykhin",28.34,Two,In stock,Books,2
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,Five,In stock,Books,5
Paradise Lost (Paradise #1),24.96,One,In stock,Books,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,Four,In stock,Books,4
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,Three,In stock,Books,3
Origins (Alphas 0.5),28.99,One,In stock,Books,1
One Second (Seven #7),52.94,Two,In stock,Books,2
On the Road (Duluoz Legend),32.36,Three,In stock,Books,3
Old Records Never Die: One Man's Quest for His Vinyl and His Past,55.66,Two,In stock,Books,2
Off Sides (Off #1),39.45,Five,In stock,Books,5
Of Mice and Men,47.11,Two,In stock,Books,2
Myriad (Prentor #1),58.75,Four,In stock,Books,4
My Perfect Mistake (Over the Top #1),38.92,Two,In stock,Books,2
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,Four,In stock,Books,4
Meditations,25.89,Two,In stock,Books,2
Matilda,28.34,One,In stock,Books,1
Lost Among the Living,27.7,Four,In stock,Books,4
Lord of the Flies,24.89,Three,In stock,Books,3
Listen to Me (Fusion #1),58.99,Three,In stock,Books,3
Kitchens of the Great Midwest,57.2,Five,In stock,Books,5
Jane Eyre,38.43,Five,In stock,Books,5
Imperfect Harmony,34.74,Four,In stock,Books,4
Icing (Aces Hockey #2),40.44,Four,In stock,Books,4
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,Three,In stock,Books,3
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),34.96,Four,In stock,Books,4
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,Four,In stock,Books,4
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,Five,In stock,Books,5
Frankenstein,38.0,Two,In stock,Books,2
Forever Rockers (The Rocker #12),28.8,Three,In stock,Books,3
Fighting Fate (Fighting #6),39.24,Three,In stock,Books,3
Emma,32.93,Two,In stock,Books,2
"Eat, Pray, Love",51.32,Three,In stock,Books,3
Deep Under (Walker Security #1),47.09,Five,In stock,Books,5
Choosing Our Religion: The Spiritual Lives of America's Nones,28.42,Four,In stock,Books,4
Charlie and the Chocolate Factory (Charlie Bucket #1),22.85,Three,In stock,Books,3
Charity's Cross (Charles Towne Belles #4),41.24,One,In stock,Books,1
Bright Lines,39.07,Five,In stock,Books,5
Bridget Jones's Diary (Bridget Jones #1),29.82,One,In stock,Books,1
Bounty (Colorado Mountain #7),37.26,Four,In stock,Books,4
Blood Defense (Samantha Brinkman #1),20.3,Three,In stock,Books,3
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,Five,In stock,Books,5
Beyond Good and Evil,43.38,One,In stock,Books,1
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,One,In stock,Books,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,Four,In stock,Books,4
A Spy's Devotion (The Regency Spies of London #1),16.97,Five,In stock,Books,5
1st to Die (Women's Murder Club #1),53.98,One,In stock,Books,1
"1,000 Places to See Before You Die",26.08,Five,In stock,Books,5
